,category,gene_program,p_h0,p_h1,log_bayes_factor
84,5,EPCAM_ligand_receptor_target_gene_GP,0.04368140128526178,0.9563185987147382,-3.086168708135317
85,6,LTB_combined_GP,0.0445677799189566,0.9554322200810434,-3.0651526499345185
86,0,NRG1_combined_GP,0.045361589765122945,0.954638410234877,-3.0466669341984094
87,10,PAPLN_ligand_receptor_target_gene_GP,0.9545750812789996,0.04542491872100041,3.0452054753954063
88,3,SFRP4_ligand_receptor_GP,0.045703541714730546,0.9542964582852694,-3.0387985819478476
89,1,ICOS_ligand_receptor_GP,0.04598467325526643,0.9540153267447335,-3.03237158620266
90,11,COMPLEX:DBH_SLC18A2_ligand_receptor_GP,0.04656145169370268,0.9534385483062973,-3.0193019924662208
91,1,Add-on_26_GP,0.9534232748486251,0.0465767251513749,3.0189579988331916
92,6,WNT5B_combined_GP,0.9517364689052458,0.04826353109475423,2.9816119524067615
93,0,CEACAM1_ligand_receptor_target_gene_GP,0.9516453316133863,0.04835466838661373,2.9796296432781344
94,14,ROBO1_ligand_receptor_target_gene_GP,0.04926040470929292,0.9507395952907071,-2.9601195946053824
95,3,TIMP3_ligand_receptor_target_gene_GP,0.04941261007091813,0.9505873899290819,-2.9568744424791134
96,4,Add-on_74_GP,0.04952659080967181,0.9504734091903282,-2.9544504725010903
97,6,CD2_ligand_receptor_target_gene_GP,0.9503960233617336,0.049603976638266434,2.9528077597315563
98,3,THBS2_combined_GP,0.04988044338481452,0.9501195566151854,-2.946958815923587
99,6,THBS2_combined_GP,0.9495755217343963,0.0504244782656037,2.9355383284492835
100,14,RARRES2_combined_GP,0.050427506641648225,0.9495724933583518,-2.935475083400855
